lexeme_id,ex_zhh,ex_zhh_pron,ex_chs,ex_en,ex_variant
L1,掟垃圾,deng3 laap6 saap3,扔垃圾,throw away the trash,口语
L1,掟入去垃圾桶,deng3 jap6 heoi3 laap6 saap3 tung2,丢进垃圾桶,lob it into the trash,动作
